# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Date,Country,Location,Perpetrator,Victim_Description,Victim_Age_Group,Victim_Count_Raw,Children_Involved_Context,Incident_Type,Source,Remarks
[cite_start]16-19 Aug 25,Myanmar,Sagaing,Military/Pyu Saw Htee,Woman (80-year-old),Elderly,1,No/Unspecified,Rape/Burn,Shwe Phee Myay News Agency,"80-year-old woman raped and burned. [cite: 1403, 1404]"
[cite_start]13-Aug-25,Russia,Karachay-Cherkessia,Police,Man (31-year-old),Adult,1,No/Unspecified,Sexual Violation (Object),OC Media,"31-year-old man sexually violated with baton. [cite: 1404, 1405]"
[cite_start]27-Aug-25,Libya,Warshefana,55th Battalion,Prisoner (Male),Adult,1,No/Unspecified,Rape/Torture,Libya - Vision of Omar Mukhtar,"Male prisoner raped and tortured. [cite: 1406, 1407]"
[cite_start]05-Aug-25,Costa Rica,Gamba,Police officer,Woman,Adult,1,No/Unspecified,Sexual Abuse,ACLED,"Woman sexually abused. [cite: 1407, 1408]"
[cite_start]13-Aug-25,Mexico,Uruapan,Unknown,Man (30-35),Adult,1,No/Unspecified,Kill/Strip/Torture,Atiempo,"Man found naked and hanged. [cite: 1408, 1409]"
[cite_start]26-Aug-25,Mexico,Morelos,Unknown,Woman,Adult,1,No/Unspecified,Kill/Strip/Torture,La Campera,"Woman found naked and dead. [cite: 1409, 1410]"
[cite_start]16-May-25,Panama,Veragus,Men (Drug traffickers),Woman (Colombian),Adult,1,No/Unspecified,Rape,Riviera Maya News,"Woman raped by six men. [cite: 1410, 1411]"
[cite_start]16-Sep-25,Central African Republic,Zemio,FACA soldier,Girl (17-year-old),Child/Minor,1,Yes (Victim),Attempted Rape/Strip,Corbeau News,"17-year-old girl stripped and nearly raped. [cite: 1541, 1542]"
[cite_start]02-Sep-25,DRC,Masisi,Wazalendo area,Girls (12/14yo),Child/Minor,2,Yes (Victims),Rape,Radio Okapi,"12 and 14-year-old girls raped. [cite: 1542, 1543]"
[cite_start]03-Sep-25,DRC,Kalehe,Unidentified,Women,Adult,6,No/Unspecified,Rape,Radio Maendeleo,"Six women raped. [cite: 1543, 1544]"
[cite_start]05-Sep-25,DRC,Kalehe,Unidentified,Women,Adult,8,No/Unspecified,Rape/Mutilation,Radio Maendeleo,"Eight women raped; one mutilated. [cite: 1544, 1545]"
[cite_start]17-Sep-25,DRC,Lubero,Wazalendo,Women,Adult,Unspecified,No/Unspecified,Rape,Actualite,"Unspecified women raped. [cite: 1546, 1547]"
[cite_start]19-Sep-25,DRC,Walikale,M23,Women,Adult,7,No/Unspecified,Rape/Kill,Tazama RDC,"Seven women raped and killed. [cite: 1547, 1548]"
[cite_start]22-Sep-25,DRC,Tshikapa,Armed men,Girl (13-year-old),Child/Minor,1,Yes (Victim),Rape,Personal Communication,"13-year-old raped. [cite: 1548, 1549]"
[cite_start]02-Sep-25,Ethiopia,West Guji,Government forces,Teacher,Adult,1,No/Unspecified,Strip/Assault,Oromia Media Network,"Teacher stripped naked and assaulted. [cite: 1550, 1551]"
[cite_start]25-Sep-25,Ethiopia,South Wollo,Unknown,Young men,Adult/Young Adult,Unspecified,No/Unspecified,Torture (Sexual),Amhara Association of America,"Young men subjected to sexual torture. [cite: 1551, 1552]"
[cite_start]01-Sep-25,Nigeria,Zamfara,Armed men,Women/Girls,Mixed,39,Yes (Girls victims),Kidnap/Sexual Assault,Daily Post,"39 women/girls kidnapped and sexually assaulted. [cite: 1552, 1553]"
[cite_start]04-Sep-25,Nigeria,Abuja,Police officer,Girl (8-year-old),Child/Minor,1,Yes (Victim),Kidnap/Sexual Assault,Sahara Reporters,"8-year-old girl kidnapped and assaulted. [cite: 1553, 1554]"
[cite_start]02-Sep-25,Sudan,South Kordofan,RSF,Women/Child,Mixed,6 (5 women 1 child),Yes (Child victim),Rape,Ultra Sudan,"Five women and a child raped. [cite: 1554, 1555]"
[cite_start]19-Sep-25,Sudan,Darfur,RSF,Woman (22-year-old),Adult,1,No/Unspecified,Sexual Assault/Torture,Personal Communication,"22-year-old woman assaulted and tortured. [cite: 1555, 1556]"
[cite_start]14-Sep-25,Afghanistan,Badakshan,Taliban,Woman (25-year-old),Adult,1,No/Unspecified,Sexual Harassment/Beat,Rukshana,"25-year-old woman beaten and sexually harassed. [cite: 1556, 1557]"
[cite_start]23-Sep-25,Bangladesh,Khagrachari,Bengali youths,Girl (12-year-old),Child/Minor,1,Yes (Victim),Rape/Torture,Arakan Bay News,"12-year-old girl raped and tortured. [cite: 1558, 1559]"
[cite_start]13-Sep-25,India,Delhi,Police officer,Woman,Adult,1,No/Unspecified,Sexual Assault,Hindustan Times,"Woman sexually assaulted. [cite: 1560, 1561]"
[cite_start]15-Sep-25,India,West Bengal,Hospital manager,Woman,Adult,1,No/Unspecified,Rape,The Indian Express,"Woman raped in hospital. [cite: 1561, 1562]"
[cite_start]15-Sep-25,Kazakhstan,Beyneu,Unspecified,Serviceman (18-year-old),Adult,1,No/Unspecified,Sexual Assault,ACLED,"18-year-old serviceman sexually assaulted. [cite: 1563, 1564]"
[cite_start]05-Sep-25,Myanmar,Sagaing,PDF member,Girl (11-year-old),Child/Minor,1,Yes (Victim),Rape,Mizzima,"11-year-old girl raped. [cite: 1564, 1565]"
[cite_start]05-Oct-25,Burundi,Rumonge,CNDD-FDD member,Girl (10-year-old),Child/Minor,1,Yes (Victim),Rape,Ligue Iteka,"10-year-old girl raped. [cite: 1721, 1722]"
[cite_start]11-Oct-25,Burundi,Matongo,Police officer,Girl (18-year-old),Adult/Young Adult,1,No/Unspecified,Rape,Ligue Iteka,"18-year-old girl raped in prison. [cite: 1724, 1725]"
[cite_start]08-Oct-25,Cameroon,Mbengwi,Ambazonian Separatists,Women (19/24),Adult,2,No/Unspecified,Sexual Assault,ACLED,"Two women sexually assaulted. [cite: 1725, 1726]"
[cite_start]11-Oct-25,Cameroon,Mbamba,Fulani pastoralists,Woman,Adult,1,No/Unspecified,Sexual Assault,ACLED,"Woman sexually assaulted. [cite: 1727, 1728]"
[cite_start]11-Oct-25,Cameroon,Shishong,Fulani pastoralists,Woman,Adult,1,No/Unspecified,Sexual Assault,ACLED,"Woman sexually assaulted in front of husband. [cite: 1728, 1729]"
[cite_start]05-Oct-25,Central African Republic,Bambouti,FACA soldiers,Girl (15-year-old),Child/Minor,1,Yes (Victim),Attempted Rape,Corbeau News,"15-year-old girl nearly raped. [cite: 1730, 1731]"
[cite_start]20-Oct-25,Central African Republic,Vakaga,Sara tribe group,Women,Adult,Unspecified,No/Unspecified,Rape/Torture,Darfur 24,"Unspecified women raped and tortured. [cite: 1733, 1734]"
[cite_start]18-Oct-25,Chad,Adre refugee camp,Unidentified,Woman (50s),Adult,1,No/Unspecified,Sexual Assault/Kill,Darfur24,"Woman in 50s assaulted and killed. [cite: 1735, 1736]"
[cite_start]01-02 Oct 25,DRC,Kabare,Armed men,Women,Adult,Unspecified,No/Unspecified,Rape,Radio Maendeleo,"Unspecified women raped. [cite: 1736, 1737]"
[cite_start]03-Oct-25,DRC,Beni,Wazalendo (UJP),Girl (12-year-old),Child/Minor,1,Yes (Victim),Sexual Abuse,Tazama RDC,"12-year-old girl sexually abused. [cite: 1737, 1738]"
[cite_start]11-12 Oct 25,DRC,Kamponde,Men,Women,Adult,4,No/Unspecified,Rape,Investigateur.net,"Four women raped. [cite: 1738, 1739]"
[cite_start]15-Oct-25,DRC,Rutshuru,CMC/M23,Women,Adult,10,No/Unspecified,Rape,Radio Okapi,"Almost 10 women raped. [cite: 1739, 1740]"
[cite_start]16-Oct-25,DRC,Kinshasa,Security force,Woman,Adult,1,No/Unspecified,Rape,Congo Quotidien,"Woman raped in police truck. [cite: 1740, 1741]"
[cite_start]23-Oct-25,DRC,Fizi,Wazalendo,Woman,Adult,1,No/Unspecified,Rape/Foreign Object,Personal Communication,"Woman raped and violated with objects. [cite: 1742, 1743]"
[cite_start]14-Oct-25,Ethiopia,Dessie,ENDF soldiers,Student (19-year-old),Adult/Young Adult,1,No/Unspecified,Rape/Kill,Personal Communication,"19-year-old student raped and killed. [cite: 1743, 1744]"
[cite_start]14-Oct-25,Ethiopia,Tilli,ENDF soldiers,Woman (25-year-old),Adult,1,No/Unspecified,Rape/Abduct,Amhara War Updates,"25-year-old woman abducted and raped. [cite: 1744, 1745]"
[cite_start]16-Oct-25,Ethiopia,Gojam,Ethiopian army,Girl (Fano member),Child/Minor,1,Yes (Victim),Kill/Mutilation,DNE Africa,"Girl killed and breasts mutilated. [cite: 1746, 1747]"
[cite_start]19-Oct-25,Ethiopia,Yismala,Militia,Girl (19-year-old),Adult/Young Adult,1,Yes (Mother killed),Attempted Rape/Kill (Mother),Amhara Association of America,"Mother killed protecting 19-year-old from rape. [cite: 1748, 1749]"
[cite_start]23-Oct-25,Ethiopia,Mida Woremo,ENDF,Woman,Adult,1,No/Unspecified,Threat of Rape/Abduct,Amhara Association of America,"Woman abducted and threatened. [cite: 1749, 1750]"
[cite_start]23-Oct-25,Ethiopia,Mida Woremo,ENDF,Woman (19-year-old),Adult,1,Yes (Unborn child),Assault/Abortion,Amhara Association of America,"19-year-old woman assaulted and forced to abort. [cite: 1750, 1751]"
[cite_start]17-Oct-25,Nigeria,Unspecified hospital,Fulani militants,Women,Adult,Unspecified,No/Unspecified,Rape/Abduct,Abamake Network,"Unspecified women abducted and raped. [cite: 1751, 1752]"
[cite_start]01-Oct-25,Sudan,South Kordofan,Militia,Miners (Male),Adult,2,No/Unspecified,Strip/Rob,East Kordofan News,"Two miners stripped. [cite: 1752, 1753]"
[cite_start]05-Oct-25,Sudan,Al Hasahisa,Sudan Shield forces,Boy (15-year-old),Child/Minor,1,Yes (Victim),Rape,Al Taghyeer,"15-year-old boy raped. [cite: 1753, 1754]"
[cite_start]10-Oct-25,Sudan,Nyala,Armed men/RSF,Sisters (15/18) and Girl (21),Mixed,3,Yes (15yo victim),Kidnap/Rape,ACJPS,"Three girls/women kidnapped and raped. [cite: 1754, 1755]"
[cite_start]19-Oct-25,Sudan,El Fasher,RSF,Women,Adult,3,No/Unspecified,Rape,DNHR,"Three women raped. [cite: 1756, 1757]"
[cite_start]26-Oct-25,Sudan,El Fasher,Unspecified (RSF implied),Women,Adult,25,No/Unspecified,Rape,Al Taghyeer,"25 women raped. [cite: 1757, 1758]"
[cite_start]17-Oct-25,South Sudan,Yei,Security forces,Woman,Adult,1,No/Unspecified,Sexual Assault,ACLED,"Woman sexually assaulted. [cite: 1759, 1760]"
[cite_start]15-Oct-25,Afghanistan,Kandahar,Unspecified,Soldier (Dead body),Adult,1,No/Unspecified,Mutilation (Sexual),Aamaj News,"Dead soldier's body sexually mutilated. [cite: 1760, 1761]"
[cite_start]10-Oct-25,India,Durgapur,Men,Student (Female),Adult,1,No/Unspecified,Rape,The Hindu,"Student raped. [cite: 1761, 1762]"
[cite_start]15-Oct-25,Indonesia,Central Papua,ULMWP,Woman,Adult,1,No/Unspecified,Rape,Asia Pacific Solidarity,"Woman raped. [cite: 1765, 1766]"
[cite_start]16-Oct-25,Myanmar,Sagaing,Pyu Saw Htee,Woman,Adult,1,No/Unspecified,Rape/Kill,Khit Thit News,"Woman raped and killed. [cite: 1766, 1767]"
[cite_start]30-Oct-25,Russia,Belgorod,Russian soldier,Teacher,Adult,1,No/Unspecified,Rape,Visegrad 24,"Teacher raped. [cite: 1767, 1768]"
12-Nov-25,Cameroon,"Makary town, Logone-et-Chari",Customs officer,Woman,Adult,1,No/Unspecified,Rape,Humanity Purpose,Woman raped in her home by a customs officer at night.
02-Nov-25,DRC,"Ngle area, Djugu",FARDC soldier,Woman,Adult,1,No/Unspecified,Rape,Kivu Morning Post,Woman raped by FARDC soldier in her home; received bone fractures.
27-Nov-25,DRC,"Kailenge village, Walikale",Wazalendo fighter (APCLS),Girl,Child/Minor,1,Yes (Victim),Rape,Actualite,Girl raped by Wazalendo fighter.
30-Nov-25,DRC,"Nia-Nia town, Mambasa",Armed men,Young woman,Adult,1,No/Unspecified,Rape,Bunia Actualite,Young woman raped by three unidentified armed men.
19-Nov-25,Ethiopia,"Ashqar Ber kebele, West Gojjam",ENDF members,Girl,Child/Minor,1,Yes (Victim),Rape/Kill,Personal Communication,Girl raped and killed by ENDF members.
23-Nov-25,Ethiopia,"Agut town, West Gojjam",ENDF members,Amhara people,Mixed,6,No/Unspecified,Kill/Mutilation,Personal Communication,Six people killed and their genitals mutilated.
22-Nov-25,Ethiopia,"Alem-Ber town, South Gonder",ENDF members,Young girl,Child/Minor,1,Yes (Victim),Rape,Amhara Association of America,Young girl raped by ENDF members.
27-Oct-25,Kenya,"Nanyuku town, Laikipia",KDF officer,Girl,Child/Minor,1,Yes (Victim),Rape,Citizen Digital,Girl raped by KDF officer in battalion headquarters.
14-Nov-25,Mali,Menaka town,Unknown,Girl,Child/Minor,1,Yes (Victim),Rape/Death,Mali Jet,Girl found raped and dead in schoolyard.
03-Nov-25,Nigeria,"Gatawa district, Sokoto",Armed men,Young woman,Adult,1,No/Unspecified,Rape,Bakatsine,Young woman raped by eight armed men.
27-Nov-25,Nigeria,"Kudodo village, Niger state",Bandits,Girl,Child/Minor,1,Yes (Victim),Rape,Bakatsine,Girl raped by three bandits on return from market.
05-Nov-25,South Sudan,"Lakamadi area, Western Equatoria",SSPDF,Women and girls,Mixed,Unspecified,Yes (Girls victims),Sexual Assault,ACLED,Unspecified number of women and girls sexually assaulted.
05-Nov-25,South Sudan,"Bazungua payam, Western Equatoria",SPLA-IO,Woman,Adult,1,No/Unspecified,Rape,Radio Tamazuj,Woman raped in home by two SPLA-IO members.
01-Nov-25,Sudan,"Bara town, North Kordofan",RSF,Pregnant women/Women in labour,Adult,Unspecified,No/Unspecified,Rape/Kill (Children),Personal Communication,Pregnant women and women in labour raped; children killed.
02-Nov-25,Sudan,"Tawila town, North Darfur",RSF,Woman,Adult,1,No/Unspecified,Sexual Violence (Strip),Al Taghyeer,Woman stripped of clothing whilst fleeing.
03-Nov-25,Sudan,"El Fasher city, North Darfur",RSF,Women,Adult,At least 25,No/Unspecified,Gang-rape,Arab News,At least 25 women gang-raped at gunpoint in IDP shelter.
10-Nov-25,Sudan,"Abu Surug area, West Darfur",RSF soldiers,Girls and Child,Child/Minor,4 (3 girls 1 child),Yes (Victims),Rape,Sudan Tribune,Three girls and a child raped at gunpoint.
19-Nov-25,Sudan,"Al Hasahisa town, Gezira",RSF members,Woman,Adult,1,No/Unspecified,Rape/Torture,Sudanese Echo,Woman raped by 17 RSF members daily for three months.
26-Nov-25,Afghanistan,"Deh Yak district, Ghazni",Taliban members,Boys,Child/Minor,Unspecified,Yes (Victims),Sexual Assault,Zarin TV,Unspecified number of boys sexually assaulted.
04-Nov-25,Myanmar,"Kone village, Karen",Military soldiers,Girl (18-year-old),Adult/Young Adult,1,No/Unspecified,Rape/Kill,Khit Thit Media,18-year-old girl raped and killed by soldiers.
06-Nov-25,Myanmar,"Tedim township, Chin",Military,Woman,Adult,1,No/Unspecified,Rape,Khit Thit Media,Woman captured and raped for unspecified time.
12-Nov-25,Bangladesh,Naikhonchori township,Rohingya Solidarity Organisation,Woman (Tanchangya),Adult,1,No/Unspecified,Attempted Sexual Assault,Arakan Bay News,Woman nearly sexually assaulted by 15 armed men.
30-Oct-25,Pakistan,"Panchi area, Balochistan",Pakistani forces,Daughter,Child/Minor,1,Yes (Victim),Sexual Assault/Torture,The Balochistan Post,Daughter sexually assaulted and mother tortured.
22-Nov-25,Brazil,Cachoeirinha city,Armed men,Man (24-year-old),Adult,1,No/Unspecified,Kill/Undressed,Jornal Noroeste,Man found partially undressed and dead.
18-May-25,Haiti,"Delmas 19, Port-au-Prince",Armed men,Men,Adult,4,No/Unspecified,Sexual Assault/Beat,Ayibopost,Four men sexually assaulted and beaten.
22-Oct-25,Mexico,"Zacatepec, Morelos",Police officers,Woman,Adult,1,No/Unspecified,Sexual Assault,Guardian Octurna,Woman physically and sexually assaulted by police.
24-Nov-25,Mexico,"Puente de Ixtla, Morelos",Unknown,Man,Adult,1,No/Unspecified,Kill/Strip,Live News Morelos,Man found dead and naked.
25-Nov-25,Mexico,"Ocosingo, Chiapas",Unknown,Woman (18-year-old),Adult/Young Adult,1,No/Unspecified,Kill/Sexual Violence,Milenio,18-year-old woman found dead with signs of sexual violence.
09-Nov-25,Venezuela,"El Rodeo I prison, Miranda",Prison guards,Inmates,Adult,Unspecified,No/Unspecified,Sexual Violence (Strip),Aporrea,Inmates handcuffed naked.
03-Sep-23,Burundi,"Buhiga commune, Karuzi",CNDD FDD member,Girl (13-year-old),Child/Minor,1,Yes (Victim),Rape,Ligue Iteka,"13-year-old girl raped."
17-Sep-23,Cameroon,"Nkwi quarter, Gom village",Fulani militia,Man,Adult,1,No/Unspecified,Genital Mutilation,Cameroon News Agency,"Man attacked and had genitals cut."
08-Sep-23 (Reported),Central African Republic,"Unspecified",Ex-FPRC Chief,Civilians (Muslim),Unknown,Unspecified,No/Unspecified,Rape (Charges),Al Jazeera,"Charged with crimes including rape committed 2013-2014."
21-Sep-23 (Reported),Central African Republic,"Boyo village",Anti-Balaka General,Civilians,Unknown,Unspecified,No/Unspecified,Rape (Charges),CNC,"Charged with crimes including rape committed Dec 2021."
10-Sep-23,Chad,"Gaga refugee Camp",Armed men,Refugee women,Adult,Unspecified,No/Unspecified,Sexual Assault/Beat,ACLED,"Unspecified number of women sexually assaulted."
25-Sep-23,Chad,"Michi Refugee Camp",Unknown,Girl (Darfuri),Child/Minor,1,Yes (Victim),Rape/Kidnap (Others),Radio Tamazuj,"Girl raped; two other girls kidnapped."
11-Sep-23 (Reported),DRC,"Mulongwe Refugee Camp",Armed men,Refugees (Burundian),Adult,Unspecified,No/Unspecified,Rape,SOS Media Burundi,"Refugees raped whilst fetching firewood."
02-Sep-23,Ethiopia,"Tilili town",ENDF soldiers,Nuns,Adult,Unspecified,No/Unspecified,Gang-rape,Personal Communication,"Unspecified number of nuns gang-raped."
16-Sep-23,Ethiopia,"Western zone, Tigray",Committee member,Woman (24-year-old),Adult,1,No/Unspecified,Rape/Kill,Personal Communication,"24-year-old woman raped and killed."
18-Sep-23,Ethiopia,"Debre Markos city",Militia (ENDF or Fano),Women,Adult,2,No/Unspecified,Rape,ACLED,"Two women raped."
28-Sep-23 (Reported),Ethiopia,"Gijet town",Eritrean forces,Woman (Tigrayan),Adult,1,No/Unspecified,Rape,Personal Communication,"Tigrayan woman raped."
23-Sep-23,Ghana,"Namolgo/Yarkoti",Fulani herdsmen,Women (Shea pickers),Adult,Regular,No/Unspecified,Threat of Rape,Access Agric,"Women regularly threatened with rape."
05-Sep-23,Nigeria,"Ado Ekiti city",Mob,Woman,Adult,1,No/Unspecified,Sexual Assault (Strip),Daily Post,"Woman stripped naked and assaulted over theft accusation."
13-Sep-23 (Reported),Nigeria,"Ekakpamre village",Fulani militia,Women,Adult,5,No/Unspecified,Rape,Vanguard,"Five women raped on farms."
04-Sep-23,Sudan,"Omdurman city",RSF members,Journalist (Female),Adult,1,No/Unspecified,Assault,Personal Communication,"Journalist assaulted inside her home."
04-Sep-23,Sudan,"Khartoum/Omdurman",RSF/SAF,Men and Women,Adult,Unspecified,No/Unspecified,Sexual Assault/Rape,Radio Dabanga,"Sexual assault and rape in detention centres."
04-Sep-23,Sudan,"Al Hasahisa IDP Camp",RSF members,Girls (15/17yo),Child/Minor,2,Yes (Victims),Rape,ACLED,"Two girls (15 and 17) raped."
06-Sep-23,Sudan,"Khartoum city",Unspecified forces,Girl (15) and Woman (29),Mixed,2,Yes (15yo victim),Rape,Personal Communication,"15-year-old girl and 29-year-old woman raped."
08-Sep-23 (Reported),Sudan,"Unspecified",RSF soldiers,Girls,Child/Minor,2,Yes (Victims),Rape,Middle East Eye,"Two girls raped in detention centre."
08-Sep-23 (Reported),Sudan,"Khartoum (Shambat Al Aradi)",RSF soldiers,Male detainee,Adult,1,No/Unspecified,Sexual Violence (Strip/Threat),Middle East Eye,"Male detainee stripped and threatened with rape."
11-Sep-23,Sudan,"Nasir Extension, Khartoum",RSF members,Individuals,Unknown,3,No/Unspecified,Rape,Personal Communication,"Three individuals raped."
13-Sep-23,Sudan,"Burri Al Sharif, Khartoum",RSF,Girl (9-year-old),Child/Minor,1,Yes (Victim),Rape,Sudan Tribune,"9-year-old girl raped."
22-Sep-23 (Reported),Sudan,"Al Junaynah city",RSF members,Girl (15-year-old) and Friend,Mixed/Child,2,Yes (15yo victim),Rape,Personal Communication,"15-year-old girl and her friend raped."
23-Sep-23,Sudan,"Near Zamzam IDP Camp",Gunmen,Displaced woman (21yo),Adult,1,No/Unspecified,Rape/Stab,Radio Dabanga,"21-year-old woman raped and stabbed."
25-Sep-23 (Reported),Sudan,"Riyadh, Khartoum",RSF soldiers,Woman and Daughter,Mixed,2,Yes (Daughter involved),Sexual Assault,New Arab,"Woman and daughter sexually assaulted in detention."
27-Sep-23,Sudan,"Bahri city",RSF militia,Female volunteer,Adult,1,No/Unspecified,Rape,Personal Communication,"Female volunteer raped."
29-Sep-23 (Reported),Sudan,"Al-Fatihab, Omdurman",RSF members,Young girl,Child/Minor,1,Yes (Victim),Rape,Dabanga,"Young girl raped."
26 Sep - 10 Oct 23,Sudan,"Zalingei town",Militia,Women,Adult,5,No/Unspecified,Rape,ACLED,"Five women raped."
02-Oct-23,Sudan,"Khartoum city",RSF members,Woman,Adult,1,No/Unspecified,Rape,Sudan Tribune,"Woman raped; female volunteer killed."
02-Oct-23 (Reported),Sudan,"Bud Madani city",RSF soldiers,Doctor (Female),Adult,1,No/Unspecified,Rape,Sudan Tribune,"Female doctor raped."
05-Oct-23,Sudan,"Al-Ailfoun village",RSF,Women,Adult,Unspecified,No/Unspecified,Rape,Sudan Violations,"Unspecified number of women raped."
06-Oct-23 (Reported),Sudan,"Unspecified",SAF soldiers,Male detainees (RSF),Adult,3,No/Unspecified,Sexual Violence (Strip/Crawl),Middle East Eye,"Male detainees stripped naked and forced to crawl."
